date,sector,MtCO2 per day
15/03/2023,Power,4.71
16/03/2023,Power,4.56
17/03/2023,Power,4.3
18/03/2023,Power,4.05
19/03/2023,Power,3.67
20/03/2023,Power,3.86
21/03/2023,Power,3.99
22/03/2023,Power,4.13
23/03/2023,Power,4.24
24/03/2023,Power,4.22
25/03/2023,Power,4.35
26/03/2023,Power,4.17
27/03/2023,Power,4.33
28/03/2023,Power,4.52
29/03/2023,Power,4.55
30/03/2023,Power,4.5
31/03/2023,Power,4.6
01/04/2023,Power,4.11
02/04/2023,Power,4.0
03/04/2023,Power,4.2
04/04/2023,Power,4.38
05/04/2023,Power,4.31
06/04/2023,Power,4.37
07/04/2023,Power,4.45
08/04/2023,Power,4.48
09/04/2023,Power,4.39
10/04/2023,Power,4.62
11/04/2023,Power,4.75
12/04/2023,Power,4.84
13/04/2023,Power,4.87
14/04/2023,Power,4.86
15/04/2023,Power,4.8
16/04/2023,Power,4.72
17/04/2023,Power,4.94
18/04/2023,Power,5.09
19/04/2023,Power,4.99
20/04/2023,Power,4.9
21/04/2023,Power,4.74
22/04/2023,Power,4.61
23/04/2023,Power,4.2
24/04/2023,Power,4.47
25/04/2023,Power,4.61
26/04/2023,Power,4.65
27/04/2023,Power,4.67
28/04/2023,Power,4.63
29/04/2023,Power,4.5
30/04/2023,Power,4.04
01/05/2023,Power,3.74
02/05/2023,Power,3.8
03/05/2023,Power,3.89
04/05/2023,Power,3.96
05/05/2023,Power,4.12
06/05/2023,Power,4.22
07/05/2023,Power,4.08
08/05/2023,Power,4.37
09/05/2023,Power,4.57
10/05/2023,Power,4.65
11/05/2023,Power,4.69
12/05/2023,Power,4.67
13/05/2023,Power,4.61
14/05/2023,Power,4.33
15/05/2023,Power,4.46
16/05/2023,Power,4.65
17/05/2023,Power,4.82
18/05/2023,Power,4.64
19/05/2023,Power,4.9
20/05/2023,Power,4.84
21/05/2023,Power,4.65
22/05/2023,Power,4.79
23/05/2023,Power,4.85
24/05/2023,Power,4.44
25/05/2023,Power,4.2
26/05/2023,Power,3.94
27/05/2023,Power,4.0
28/05/2023,Power,4.13
29/05/2023,Power,4.48
30/05/2023,Power,4.59
31/05/2023,Power,4.52
01/06/2023,Power,4.42
02/06/2023,Power,4.48
03/06/2023,Power,4.68
04/06/2023,Power,4.32
05/06/2023,Power,4.61
06/06/2023,Power,4.69
07/06/2023,Power,4.77
08/06/2023,Power,4.84
09/06/2023,Power,4.84
10/06/2023,Power,4.75
11/06/2023,Power,4.45
12/06/2023,Power,4.58
13/06/2023,Power,4.57
14/06/2023,Power,4.43
15/06/2023,Power,4.48
16/06/2023,Power,4.63
17/06/2023,Power,4.65
18/06/2023,Power,4.38
19/06/2023,Power,4.57
20/06/2023,Power,4.57
21/06/2023,Power,4.64
22/06/2023,Power,4.64
23/06/2023,Power,4.63
24/06/2023,Power,4.52
25/06/2023,Power,4.1
26/06/2023,Power,4.05
27/06/2023,Power,4.13
28/06/2023,Power,4.15
29/06/2023,Power,3.96
30/06/2023,Power,3.8
01/07/2023,Power,3.96
02/07/2023,Power,3.99
03/07/2023,Power,4.3
04/07/2023,Power,4.37
05/07/2023,Power,4.23
06/07/2023,Power,4.1
07/07/2023,Power,4.13
08/07/2023,Power,3.65
09/07/2023,Power,3.82
10/07/2023,Power,4.23
11/07/2023,Power,4.28
12/07/2023,Power,4.34
13/07/2023,Power,4.32
14/07/2023,Power,4.28
15/07/2023,Power,4.19
16/07/2023,Power,4.06
17/07/2023,Power,4.29
18/07/2023,Power,4.22
19/07/2023,Power,4.14
20/07/2023,Power,4.23
21/07/2023,Power,4.3
22/07/2023,Power,4.13
23/07/2023,Power,3.94
24/07/2023,Power,4.17
25/07/2023,Power,4.22
26/07/2023,Power,4.02
27/07/2023,Power,3.92
28/07/2023,Power,3.73
29/07/2023,Power,3.53
30/07/2023,Power,3.61
31/07/2023,Power,3.88
01/08/2023,Power,3.88
02/08/2023,Power,3.78
03/08/2023,Power,3.83
04/08/2023,Power,3.97
05/08/2023,Power,4.0
06/08/2023,Power,3.75
07/08/2023,Power,3.86
08/08/2023,Power,4.07
09/08/2023,Power,4.26
10/08/2023,Power,4.36
11/08/2023,Power,4.55
12/08/2023,Power,4.43
13/08/2023,Power,4.27
14/08/2023,Power,4.46
15/08/2023,Power,4.42
16/08/2023,Power,4.59
17/08/2023,Power,4.6
18/08/2023,Power,4.57
